epoch,seed,val_loss,val_acc,test_acc,macro_test_acc
0,235231,0.04001057981357748,0.4513677811550152,0.4763014763014763,0.28952143569292127
1,235231,0.033288286087360786,0.5395136778115501,0.5788655788655789,0.43284198425132764
2,235231,0.029686200220171804,0.6200607902735562,0.6410256410256411,0.49552490950155104
3,235231,0.029027886666063117,0.6094224924012158,0.627039627039627,0.6160664296535255
4,235231,0.028359732004646834,0.6352583586626139,0.6581196581196581,0.5858244838767557
5,235231,0.02673114324413172,0.6656534954407295,0.6860916860916861,0.644450858926005
6,235231,0.029454321122097026,0.621580547112462,0.634032634032634,0.6021015617340928
7,235231,0.028943858972798726,0.5881458966565349,0.6557886557886557,0.6425070243814013
8,235231,0.02728441928295379,0.6398176291793313,0.6565656565656566,0.639394580636569
9,235231,0.0283690281552022,0.6519756838905775,0.6557886557886557,0.6219159774849847
10,235231,0.029987517823564246,0.6261398176291794,0.6557886557886557,0.6855937660117976
11,235231,0.029569973699227654,0.6170212765957447,0.6596736596736597,0.6706784655310506
12,235231,0.02983339361869093,0.6367781155015197,0.6674436674436675,0.6710551739956383
13,235231,0.03131957764321185,0.621580547112462,0.6728826728826729,0.677369801541572
14,235231,0.03556149491423169,0.6382978723404256,0.6519036519036518,0.6401800627801197
15,235231,0.03358392802415285,0.6382978723404256,0.6658896658896659,0.6538335827397215
16,235231,0.03629005281396187,0.6382978723404256,0.6674436674436675,0.6508333441234737
17,235231,0.04509709308937328,0.5288753799392097,0.5990675990675991,0.6563262069080329
18,235231,0.04223944713279469,0.6231003039513677,0.6658896658896659,0.6520682756924033
19,235231,0.04513563138735693,0.601823708206687,0.6324786324786325,0.6432872810141006
20,235231,0.04379822635360764,0.6246200607902735,0.675990675990676,0.6804806915061865
21,235231,0.044378338613771016,0.6367781155015197,0.6682206682206682,0.6743955609978969
22,235231,0.04495194327867502,0.5987841945288754,0.6573426573426573,0.6538530604845945
23,235231,0.04763706984128633,0.6185410334346505,0.6783216783216783,0.6380753287447491
24,235231,0.04694379209385092,0.6291793313069909,0.6635586635586636,0.6470384024179779
25,235231,0.05861801217029885,0.5623100303951368,0.6317016317016317,0.573218581731614
26,235231,0.04703879138981318,0.6322188449848024,0.6682206682206682,0.644319435015917
27,235231,0.051550131800689236,0.6170212765957447,0.655011655011655,0.641033069622302
28,235231,0.05581978099324421,0.6003039513677811,0.6511266511266511,0.6310971723049775
29,235231,0.05668069091611358,0.5927051671732523,0.6402486402486403,0.6415304087736791
30,235231,0.052753831115537136,0.6246200607902735,0.6573426573426573,0.6410779627721659
31,235231,0.05891465995811764,0.6200607902735562,0.6581196581196581,0.64438347295775
32,235231,0.06248901390377149,0.6155015197568389,0.6495726495726496,0.6470522939530203
33,235231,0.056666336523363295,0.6170212765957447,0.662004662004662,0.655669300077504
34,235231,0.06128237530090889,0.6276595744680851,0.6363636363636364,0.6467868102556894
35,235231,0.06124444862991843,0.5866261398176292,0.6425796425796426,0.6470538754793135
36,235231,0.061707169089273844,0.6185410334346505,0.6596736596736597,0.6492291862816005
37,235231,0.0629541518840384,0.5987841945288754,0.6177156177156177,0.6487266401167555
38,235231,0.07220976113548394,0.5775075987841946,0.6262626262626263,0.61803072230433
39,235231,0.06350396686774257,0.6124620060790273,0.6713286713286714,0.644384897256283
40,235231,0.06687750425019888,0.601823708206687,0.6464646464646465,0.6548435028865167
41,235231,0.06835740387983236,0.6048632218844985,0.6534576534576535,0.6449037026212643
42,235231,0.07663935513481905,0.5759878419452887,0.6410256410256411,0.661198482474654
43,235231,0.07413191635920284,0.5714285714285714,0.6324786324786325,0.632124359759312
44,235231,0.06771494624824871,0.6109422492401215,0.662004662004662,0.6648726270169085
45,235231,0.06881775319757433,0.6063829787234043,0.6534576534576535,0.6560111224767258
46,235231,0.0730870719376306,0.5927051671732523,0.6495726495726496,0.6508274157120475
47,235231,0.07711902143020398,0.5911854103343465,0.6449106449106449,0.6518816740872004
48,235231,0.07348631653017548,0.6094224924012158,0.6573426573426573,0.6538844412957788
49,235231,0.07249647215869288,0.6109422492401215,0.6643356643356644,0.6654806082679605
50,235231,0.0738146587708076,0.6109422492401215,0.662004662004662,0.6610837524532156
51,235231,0.07197742983925307,0.621580547112462,0.668997668997669,0.665286912916168
52,235231,0.07004915254818994,0.6306990881458967,0.6682206682206682,0.6520557899585103
53,235231,0.0723965537584299,0.6276595744680851,0.6627816627816627,0.6593208408170664
54,235231,0.07417257361136671,0.6063829787234043,0.6658896658896659,0.6720009822110662
55,235231,0.07724127146248397,0.5911854103343465,0.6573426573426573,0.666148345316555
56,235231,0.07676071236561134,0.5942249240121581,0.6612276612276612,0.6669754095783151
57,235231,0.07474747399791033,0.60790273556231,0.6495726495726496,0.6389611776914156
58,235231,0.07738475741586424,0.601823708206687,0.6643356643356644,0.675861432400387
59,235231,0.07127091659963312,0.6246200607902735,0.6604506604506605,0.6615625109828216
60,235231,0.08073035127123801,0.5759878419452887,0.616938616938617,0.6426264434895683
61,235231,0.07195007764822081,0.6185410334346505,0.6542346542346542,0.6533697423499445
62,235231,0.07323327107994752,0.6048632218844985,0.655011655011655,0.6589619638302162
63,235231,0.074359801040232,0.6200607902735562,0.6542346542346542,0.6494257857226096
64,235231,0.07455972480194184,0.6063829787234043,0.6565656565656566,0.6529345174125119
65,235231,0.0758038378776388,0.6048632218844985,0.6503496503496503,0.6447467338245005
66,235231,0.07526649892511339,0.6063829787234043,0.6542346542346542,0.6502685912577666
67,235231,0.0742423454678892,0.6185410334346505,0.6658896658896659,0.6735075571060474
68,235231,0.07195171251847751,0.6231003039513677,0.6721056721056721,0.6717107952580108
69,235231,0.07632827179047837,0.6109422492401215,0.6557886557886557,0.6620376625226362
70,235231,0.07657880116378644,0.6139817629179332,0.6635586635586636,0.6659009058168722
71,235231,0.07725806656579479,0.6139817629179332,0.6627816627816627,0.6662220481412904
72,235231,0.07694105826612664,0.6185410334346505,0.662004662004662,0.6656256555010295
73,235231,0.07743722979420949,0.6170212765957447,0.6658896658896659,0.674655384495863
74,235231,0.07756368295037638,0.6139817629179332,0.6658896658896659,0.6713684271859746
75,235231,0.0772570752082987,0.6139817629179332,0.6627816627816627,0.6647496471624089
76,235231,0.07757588070576676,0.6155015197568389,0.6596736596736597,0.6638609496186765
77,235231,0.07745773524136529,0.6170212765957447,0.6666666666666666,0.6719485051339489
78,235231,0.07788028543118648,0.6139817629179332,0.6682206682206682,0.6736103378177157
79,235231,0.07741046314181528,0.6109422492401215,0.6713286713286714,0.6736928176509434
80,235231,0.07757778805439958,0.6139817629179332,0.6674436674436675,0.6720432209863916
81,235231,0.0777167636210433,0.6124620060790273,0.6651126651126651,0.667485077235825
82,235231,0.07789925456409397,0.6139817629179332,0.6674436674436675,0.6686243865805181
83,235231,0.07913676438722929,0.6048632218844985,0.662004662004662,0.6654653479265358
84,235231,0.07819921267431196,0.6109422492401215,0.6682206682206682,0.6747420632351554
85,235231,0.07493951327894958,0.6124620060790273,0.6705516705516705,0.6704403024692158
86,235231,0.07616762549681504,0.6124620060790273,0.675990675990676,0.6814029895471286
87,235231,0.07612475943058095,0.6139817629179332,0.6736596736596736,0.6799630977198275
88,235231,0.0767149417958361,0.6094224924012158,0.6674436674436675,0.671038840805968
89,235231,0.07717250835569434,0.6124620060790273,0.6658896658896659,0.6704590495674387
90,235231,0.07790149816263772,0.60790273556231,0.6658896658896659,0.674771640551444
91,235231,0.07723658715337968,0.6109422492401215,0.6705516705516705,0.6721902659368832
92,235231,0.07732158881190337,0.6109422492401215,0.668997668997669,0.6718781410869433
93,235231,0.07752384313334085,0.6109422492401215,0.6728826728826729,0.6752514904266792
94,235231,0.07789003088119183,0.6124620060790273,0.6713286713286714,0.6734864978348812
95,235231,0.07778403679288266,0.6109422492401215,0.6721056721056721,0.6743423995175882
96,235231,0.07788437840424048,0.6109422492401215,0.6713286713286714,0.6735978150890557
97,235231,0.07812843206805661,0.60790273556231,0.6736596736596736,0.6763750584979754
98,235231,0.0782306578383982,0.6094224924012158,0.6744366744366744,0.6769632937920931
99,235231,0.07828399982858211,0.60790273556231,0.6736596736596736,0.6755688407874707
